	timepoint	replicate_id	treatment
201106	11	1	sc
201191	11	1	sc
202118	11	1	sc
202179	11	1	sc
203130	11	1	sc
203167	11	1	sc
204142	11	1	sc
204155	11	1	sc
205143	11	1	sc
205154	11	1	sc
206131	11	1	sc
206166	11	1	sc
207119	11	1	sc
207178	11	1	sc
208107	11	1	sc
208190	11	1	sc
209107	11	1	sc
209190	11	1	sc
210119	11	1	sc
210178	11	1	sc
211131	11	1	sc
211166	11	1	sc
212143	11	1	sc
212154	11	1	sc
213142	11	1	sc
213155	11	1	sc
214130	11	1	sc
214167	11	1	sc
215118	11	1	sc
215179	11	1	sc
216106	11	1	sc
216191	11	1	sc
217108	11	1	sc
217189	11	1	sc
218120	11	1	sc
218177	11	1	sc
219132	11	1	sc
219165	11	1	sc
220144	11	1	sc
220153	11	1	sc
221141	11	1	sc
221156	11	1	sc
222129	11	1	sc
222168	11	1	sc
223117	11	1	sc
223180	11	1	sc
224105	11	1	sc
224192	11	1	sc
225109	11	1	sc
225188	11	1	sc
226121	11	1	sc
226176	11	1	sc
227133	11	1	sc
227164	11	1	sc
228145	11	1	sc
228152	11	1	sc
229140	11	1	sc
229157	11	1	sc
230128	11	1	sc
230169	11	1	sc
231116	11	1	sc
231181	11	1	sc
232104	11	1	sc
232193	11	1	sc
233110	11	1	sc
233187	11	1	sc
234122	11	1	sc
234175	11	1	sc
235134	11	1	sc
235163	11	1	sc
236146	11	1	sc
236151	11	1	sc
237139	11	1	sc
237158	11	1	sc
238127	11	1	sc
238170	11	1	sc
239115	11	1	sc
239182	11	1	sc
240103	11	1	sc
240194	11	1	sc
241111	11	1	sc
241186	11	1	sc
242123	11	1	sc
242174	11	1	sc
243135	11	1	sc
243162	11	1	sc
244147	11	1	sc
244150	11	1	sc
245138	11	1	sc
245159	11	1	sc
246126	11	1	sc
246171	11	1	sc
247114	11	1	sc
247183	11	1	sc
248102	11	1	sc
248195	11	1	sc
249112	11	1	sc
249185	11	1	sc
250124	11	1	sc
250173	11	1	sc
251136	11	1	sc
251161	11	1	sc
252148	11	1	sc
252149	11	1	sc
253137	11	1	sc
253160	11	1	sc
254125	11	1	sc
254172	11	1	sc
255113	11	1	sc
255184	11	1	sc
256101	11	1	sc
256196	11	1	sc
257101	11	1	sc
257196	11	1	sc
258113	11	1	sc
258184	11	1	sc
259125	11	1	sc
259172	11	1	sc
260137	11	1	sc
260160	11	1	sc
261148	11	1	sc
261149	11	1	sc
262136	11	1	sc
262161	11	1	sc
263124	11	1	sc
263173	11	1	sc
264112	11	1	sc
264185	11	1	sc
265102	11	1	sc
265195	11	1	sc
266114	11	1	sc
266183	11	1	sc
267126	11	1	sc
267171	11	1	sc
268138	11	1	sc
268159	11	1	sc
269147	11	1	sc
269150	11	1	sc
270135	11	1	sc
270162	11	1	sc
271123	11	1	sc
271174	11	1	sc
272111	11	1	sc
272186	11	1	sc
273103	11	1	sc
273194	11	1	sc
274115	11	1	sc
274182	11	1	sc
275127	11	1	sc
275170	11	1	sc
276139	11	1	sc
276158	11	1	sc
277146	11	1	sc
277151	11	1	sc
