This table shows differentially expressed (absolute FC > 1.5 and padj (FDR) < 0.05) transcription factors between Lmx1a_E1 and Sox3U3 samples (Lmx1a_E1 - Sox3U3)
Reads are aligned to Galgal6 

Statistics:
Normalised count: read counts adjusted for library size
pvalue: unadjusted pvalue for differential expression test between Lmx1a_E1 and Sox3U3 samples
padj: pvalue for differential expression test between Lmx1a_E1 and Sox3U3 samples - adjusted for multiple testing (Benjamini and Hochberg) 
 
"gene_id","gene_name","counts_Lmx1a_E1_R1","counts_Lmx1a_E1_R2","counts_Lmx1a_E1_R3","counts_Lmx1a_E1_R4","counts_Sox3U3_R1","counts_Sox3U3_R2","counts_Sox3U3_R3","counts_Sox3U3_R4","norm_size.adj_Lmx1a_E1_R1","norm_size.adj_Lmx1a_E1_R2","norm_size.adj_Lmx1a_E1_R3","norm_size.adj_Lmx1a_E1_R4","norm_size.adj_Sox3U3_R1","norm_size.adj_Sox3U3_R2","norm_size.adj_Sox3U3_R3","norm_size.adj_Sox3U3_R4","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSGALG00000040730","RXRG",990,925,3489,3740,1375,629,277,185,1888.30202803234,2014.3326045409,2081.7998533885,2556.69835743287,428.358774015461,491.087158942337,416.138477220679,264.211997017336,1267.6161563238,2.38545939914738,0.183927048024473,1.43323002787992e-39,1.12739120280015e-36
"ENSGALG00000012290","SOX10",5535,4661,18717,20994,8219,3841,1616,1474,10557.3249749081,10150.0586700164,11167.970150723,14351.6912609481,2560.49510082405,2998.83271462245,2427.72483461595,2105.12693839759,7039.90308063195,2.17230023444353,0.155849657139711,2.06963321694934e-45,2.67455744007481e-42
"ENSGALG00000014645","MEF2C",469,327,1141,1656,520,260,186,101,894.559243582998,712.093796416082,680.80642955468,1132.05681280985,161.997499991302,202.993102265513,279.42872477634,144.245468641897,526.022634754833,2.08211990450804,0.223855861717886,8.22410961569668e-22,1.50293526431499e-19
"ENSGALG00000031960","LEF1",1468,1319,4887,4805,2580,1047,527,342,2800.02765368836,2872.32941123184,2915.95181527933,3284.74214103341,803.75682687992,817.437607969201,791.714720199631,488.43515124286,1846.79941594057,2.00399476169641,0.168085282735402,6.74600404003338e-34,3.9370550029769e-31
"ENSGALG00000016680","TFAP2B",2627,2023,7219,6643,3737,1452,941,703,5010.67618953633,4405.3998475527,4307.39843554359,4541.21582578251,1164.20126436057,1133.63840188279,1413.66897857278,1004.00558866588,2872.52556648714,1.93719856037429,0.135578143444988,1.84064523109127e-47,2.77507946007527e-44
"ENSGALG00000043204","PAX7",486,368,1659,1659,991,393,104,164,926.98463194315,801.377728076814,989.884195119381,1134.10764036929,308.729850944961,306.831881501333,156.239717079244,234.220364923477,607.297001244706,1.88512021046475,0.205604853186251,4.28709447252518e-21,7.2487956258809e-19
"ENSGALG00000005263","SOX8",416,446,2109,2003,1088,508,158,133,793.468326930762,971.234963919182,1258.38804551343,1369.26920051819,338.948615366416,396.617292118772,237.364185562698,189.947003261112,694.40470414882,1.85899900410408,0.232706270707942,1.11335582417452e-16,1.2134237090943e-14
"ENSGALG00000040532","ZIC1",141,83,344,288,227,113,22,24,268.939985810667,180.745520191238,205.25627674567,196.879445706061,70.7181394192798,88.2239252153961,33.0507093821478,34.2761509644112,134.761269179359,1.7793553281896,0.290638777023049,8.22994701285704e-11,3.66739412208398e-09
"ENSGALG00000041640","TWIST1",364,336,650,441,363,215,138,75,694.284786064417,731.692708244047,387.838895013621,301.471651237406,113.086716340082,167.859680719559,207.318086124382,107.112971763785,338.833186938412,1.74317747649159,0.289431138415789,1.04817057281572e-10,4.60279174839369e-09
"ENSGALG00000040465","ZEB2",1534,1344,4697,4667,3233,1706,495,594,2925.91445555718,2926.77083297619,2802.58352289074,3190.40407329926,1007.18830283054,1331.94704794217,743.640961098325,848.334736369177,1972.09799162045,1.55247377420063,0.173939237382624,3.48122286777945e-20,5.33748170541235e-18
"ENSGALG00000000365","NKX2-6",3,7,31,39,752,310,204,295,5.72212735767376,15.2435980884177,18.4969319160342,26.6607582726957,234.273307679729,242.030237316573,306.470214270825,421.311022270888,158.776024646604,-3.99895823373317,0.309080621049274,1.3286003686166e-38,9.61481514760459e-36
"ENSGALG00000007831","TLX1",36,35,250,390,6589,2825,747,679,68.6655282920852,76.2179904420883,149.16880577447,266.607582726957,2052.69524508209,2205.5981303849,1122.22181402111,969.729437701467,863.863066803146,-3.33207713907795,0.543140784103185,4.77769793614102e-11,2.25686974048729e-09
"ENSGALG00000002886","NKX2-5",8,2,32,14,349,99,39,75,15.25900628713,4.3553137395479,19.0936071391321,9.57052861071129,108.72524518647,77.2935274010992,58.5898939047165,107.112971763785,50.000011754074,-2.6800558177659,0.381243979353725,2.17715344995459e-13,1.49200985668858e-11
