"gene_short_name","pval","qval"
"LRRTM3",0,0
"EOMES",0,0
"PITX2",0,0
"RGS2",1.25831923616447e-261,2.69720728271855e-258
"ENSGALG00000031866",3.6111564060316e-250,6.19241100506298e-247
"AHR1B",1.44849063572929e-170,2.06989311845716e-167
"EEF1AKNMT",6.43921079430363e-159,7.88711333576562e-156
"TMPRSS2",3.75317683985303e-86,4.02246727811248e-83
"ADAM33",8.85838883327918e-75,8.4390917618373e-72
"ENSGALG00000036286",1.50518868007996e-65,1.29054877430056e-62
"NFKBIZ",1.75122829419373e-65,1.36500285403791e-62
"KRT23",2.02312674388161e-53,1.44552405850341e-50
"ENSGALG00000001203",4.3126112985699e-50,2.84433302107218e-47
"ITGB3",4.88883320461175e-46,2.99406113545294e-43
"NQO2",5.86428121729664e-40,3.35202314380676e-37
"CD93",4.99662323786383e-39,2.67756547759028e-36
"ENSGALG00000019018",4.23497559756634e-36,2.13592239844316e-33
"GPR157",1.21132844103675e-35,5.66107042702655e-33
"SOX10",1.2544942630453e-35,5.66107042702655e-33
"NUP210",6.25137124865798e-35,2.67996285429968e-32
"AIFM2",5.61262140529443e-34,2.29155313947592e-31
"CRABP-I",9.67332254061971e-34,3.76995761196697e-31
"SOX8",5.2409559591069e-33,1.95373723449489e-30
"ENSGALG00000004231",9.61353034336182e-33,3.43443371516601e-30
"TNFSF15",2.84068578317919e-32,9.74241596199136e-30
"SPTSSB",3.97448725820573e-31,1.31066360584061e-28
"EPHA4",1.26081943354982e-30,4.00380215676153e-28
"ZPLD1",1.76958850976175e-29,5.41873281524902e-27
"PRDM12",2.41155342561978e-29,7.1298824383669e-27
"MYO3B",7.65965777626807e-29,2.18913019245742e-26
"SERTM1",1.20860423175313e-28,3.34276538162947e-26
"SOHO-1",5.52504847235458e-27,1.4803676750615e-24
"CXCR4",5.32805254498859e-26,1.38432492487067e-23
"CLEC19A",3.150553223207e-24,7.9449539222873e-22
"FDXACB1",4.33589017215385e-23,1.06216920960135e-20
"ENSGALG00000048488",2.12114060096382e-22,5.05184986462882e-20
"ENSGALG00000034605",3.31374786822477e-22,7.67893897896195e-20
"NPM3",4.23871024252528e-22,9.56386884721361e-20
"FOXI3",4.49210857996197e-22,9.87572793963947e-20
"ISL1",2.86730802448584e-21,6.1460747504854e-19
"FGF8",2.78221329839363e-20,5.8182187366895e-18
"WSCD2",3.16909589078157e-20,6.46948289703838e-18
"MYL4",2.82985030317763e-19,5.64258988359185e-17
"CA12",3.27504130455182e-19,6.38186457846075e-17
"VGLL2",9.87618715818077e-19,1.88174285987204e-16
"PRR5",2.22313827856734e-17,4.12075093316907e-15
"TP73",2.2588674347906e-17,4.12075093316907e-15
"AGR2",1.2572218591112e-16,2.24571254583738e-14
"CYTL1",2.48635567620286e-16,4.35061501382924e-14
"CHST9",4.49351907880219e-16,7.70548651633e-14
"ENSGALG00000042908",4.82449958425554e-16,8.11083518341314e-14
"EBF3",6.34418247772721e-15,1.04605808776987e-12
"SOSTDC1",7.46654912284041e-15,1.20789041847611e-12
"Meis2a.2",8.01364563518919e-15,1.27238884585393e-12
"ENSGALG00000047853",8.33041479416638e-15,1.29863593536696e-12
"ENSGALG00000037717",1.13259094582045e-14,1.72048123356931e-12
"PDLIM1",1.14377688725742e-14,1.72048123356931e-12
"CPZ",1.9707553186401e-14,2.91332001758969e-12
"LGI2",2.71372340316885e-14,3.94363804385928e-12
"LMX1A",3.32713015016332e-14,4.75446898458338e-12
"NKX2-5",1.0051752902094e-13,1.41284802266481e-11
"WNT11",1.78240570471013e-13,2.46489459873946e-11
"ENSGALG00000015140",2.67982825542797e-13,3.64711864476816e-11
"MATN4",3.27659530717415e-13,4.38961377557986e-11
"FN1",4.08414828453582e-13,5.38730575255541e-11
"ST3GAL1",5.13755266338092e-13,6.67414795997394e-11
"PLXNA2",5.22319752299808e-13,6.68413366599785e-11
"PTN",5.33974005534917e-13,6.73278400508291e-11
"FILIP1",1.52170873390882e-12,1.89088850500495e-10
"TECPR1",1.68859294597549e-12,2.05292607160832e-10
"SLC29A1",1.71291465329351e-12,2.05292607160832e-10
"DSP",1.72394071793561e-12,2.05292607160832e-10
"FAM210B",1.88593246111901e-12,2.21506642762115e-10
"JCAD",2.50832643703888e-12,2.90626903664477e-10
"TUBB2B",3.2075184435592e-12,3.66683508467688e-10
"TMEM154",3.65712266330485e-12,4.12581180462839e-10
"ENOX1",3.73277081861839e-12,4.15646454530312e-10
"FBRSL1",4.58444310443017e-12,5.03936092017747e-10
"ENSGALG00000034788",6.06219788621347e-12,6.57940312359422e-10
"ITGA4",7.38128685933188e-12,7.91089419148894e-10
"SELENOP2",1.35830811870073e-11,1.43779429749878e-09
"BLNK",2.06022957490687e-11,2.15419614332335e-09
"PLEKHS1",2.26712140386122e-11,2.34196372490435e-09
"PODXL",2.35620843246361e-11,2.40501560713607e-09
"SOST",2.94088770187275e-11,2.96649072421846e-09
"SMOC1",3.65685020326324e-11,3.64579460962546e-09
"ENSGALG00000038652",5.14669228694666e-11,5.07215398485984e-09
"TLX1",5.5627306826211e-11,5.4198696446356e-09
"ENSGALG00000044849",7.08576774074898e-11,6.77977519506419e-09
"LDHB",7.11662896612756e-11,6.77977519506419e-09
"NCALD",1.19303813979245e-10,1.11717954342892e-08
"CLCA2",1.19874641935456e-10,1.11717954342892e-08
"C1QTNF4",2.26031843344773e-10,2.0838677686431e-08
"NTM",2.38322598973625e-10,2.17380634425517e-08
"UACA",3.52044733719526e-10,3.1772963651697e-08
"NBL1",4.85294655870401e-10,4.33428789524252e-08
"CERS1",5.71368131902226e-10,5.05042305456669e-08
"THSD7B",6.16875090753757e-10,5.39702757971706e-08
"IGSF21",6.55763334328524e-10,5.67930790760885e-08
"TRABD2A",8.9208220047359e-10,7.64871278686056e-08
"ENSGALG00000054431",9.11698208760731e-10,7.73950538803416e-08
"TMEM106B",1.04617410935211e-09,8.79401648390682e-08
"COL14A1",1.12354898858559e-09,9.35272721177943e-08
"PACSIN1",1.2709886129234e-09,1.0478323430005e-07
"SMAD6",1.73348628510902e-09,1.41551537224045e-07
"SYT17",2.03572654305371e-09,1.64663390378703e-07
"COL9A1",3.06930504523133e-09,2.45945994932836e-07
"LMO7",4.21326149624817e-09,3.3448614878548e-07
"CTH",4.30012545165033e-09,3.38250235068348e-07
"RBBP8",4.71028020731351e-09,3.67144931795509e-07
"SEMA3G",5.71498258562097e-09,4.41443789992019e-07
"ENSGALG00000023953",6.08910104230552e-09,4.66142431577925e-07
"UPK1B",6.42899763741499e-09,4.87807307461913e-07
"PDGFA",9.37059304336382e-09,7.04767234682468e-07
"ENO1",1.09355398127644e-08,8.15315811779494e-07
"NKAIN4",1.15978605578462e-08,8.57241865715286e-07
"NRP1",1.18318220629322e-08,8.67060191175903e-07
"KREMEN1",2.34557353494414e-08,1.6945286812985e-06
"PDE10A",2.35186509300818e-08,1.6945286812985e-06
"HMP19",3.51980600978948e-08,2.51490139399458e-06
"PGK1",3.93968849337859e-08,2.79164373076265e-06
"SULF1",4.71286776967853e-08,3.31214166042817e-06
"NELL1",5.29939960461007e-08,3.69406928535989e-06
"GAL3ST1",5.45031514082692e-08,3.76862919495564e-06
"ARSJ",5.69710440451371e-08,3.90775785314404e-06
"GDF3",5.84142594500976e-08,3.97495127400902e-06
