This table shows differentially expressed (absolute FC > 1.5 and padj (FDR) < 0.05) transcription factors between Sox8 overexpression and control samples (Sox8 - Control)
Reads are aligned to Galgal6 

Statistics:
Normalised count: read counts adjusted for library size
pvalue: unadjusted pvalue for differential expression test between Sox8 overexpression and control samples
padj: pvalue for differential expression test between Sox8 overexpression and control samples - adjusted for multiple testing (Benjamini and Hochberg) 
 
"gene_id","gene_name","counts_control_R1","counts_control_R2","counts_control_R3","counts_sox8_oe_R1","counts_sox8_oe_R2","counts_sox8_oe_R3","norm_size.adj_control_R1","norm_size.adj_control_R2","norm_size.adj_control_R3","norm_size.adj_sox8_oe_R1","norm_size.adj_sox8_oe_R2","norm_size.adj_sox8_oe_R3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSGALG00000014976","GATA6",0,0,0,65,340,82,0,0,0,55.9876911799947,373.6054095689,88.1560775786294,86.2915297212541,10.8533232044473,3.07915484327204,8.77363397653818e-12,5.04841397998138e-09
"ENSGALG00000006074","SOX6",39,105,101,757,1252,1579,43.1075128762382,82.3939686290016,93.2144975641999,652.041264973169,1375.74697876548,1697.54203044702,657.341042209185,3.97427273657024,0.489457429429921,2.61423775293954e-17,3.69225433906079e-14
"ENSGALG00000011294","THRB",0,5,3,73,35,43,0,3.92352231566674,2.76874745240198,62.8784839406095,38.4593803967986,46.2281870229398,25.7097201880694,3.87656743136192,1.10135007525425,2.25265123044732e-05,0.0016988926949626
"ENSGALG00000015599","SOHO-1",312,1224,574,11423,8843,7875,344.860103009906,960.478262875219,529.753679226245,9839.19071306277,9717.03716711114,8466.20866989886,4976.25476586402,3.85002063369703,0.421726724976535,4.50147996495754e-21,9.99071324794004e-18
"ENSGALG00000030661","STAT2",1,4,0,20,38,40,1.10532084298047,3.13881785253339,0,17.2269819015368,41.7558987165242,43.0029646725022,17.7049973310128,3.70849493004497,1.4228846782515,0.000365013683931347,0.0138991485136211
"ENSGALG00000003424","LMX1A",45,130,70,530,1431,1015,49.739437934121,102.011580207335,64.6041072227128,456.515020390726,1572.43923850911,1091.20022856474,556.084935471458,3.70565293063952,0.531854937988969,1.75885348288399e-13,1.24207035045844e-10
"ENSGALG00000012538","NR4A2",3,2,1,34,31,45,3.3159625289414,1.5694089262667,0.922915817467326,29.2858692326126,34.0640226371645,48.3783352565649,19.5894190665029,3.69730592213288,1.1633202779348,6.53644371091464e-05,0.00387676052184843
"ENSGALG00000034094","SP5",20,53,11,56,464,287,22.1064168596093,41.5893365460675,10.1520739921406,48.2355493243032,509.861500117558,308.546271525203,156.74852472748,3.15953547528027,0.858013991718669,9.8124187275341e-06,0.000891495540064151
"ENSGALG00000009791","PROX1",27,53,21,198,287,290,29.8436627604726,41.5893365460675,19.3812321668138,170.547120825215,315.366919253748,311.771493875641,148.083294237993,2.95706428481732,0.535074722067221,1.82293700674381e-09,6.02577645463229e-07
"ENSGALG00000005263","SOX8",773,2147,1049,9931,8999,8500,854.413011623901,1684.7604823473,968.138692523225,8554.05786320812,9888.45611973687,9138.12999290671,5181.32602705769,2.89018004148042,0.3659408021344,1.70403139968858e-16,2.20615265213015e-13
"ENSGALG00000040529","DLX3",85,524,207,423,3916,1721,93.9522716533397,411.185138681875,191.043574215736,364.350667217504,4303.05524668181,1850.20255503441,1202.29824224744,2.86926197519775,0.790251371238526,1.27516511792403e-05,0.00109452846807004
"ENSGALG00000036497","SOX4",157,251,178,218,1836,1265,173.535372347933,196.96082024647,164.279015509184,187.774102726752,2017.46921167206,1359.96875776788,683.33121337838,2.40460148728499,0.707703656733873,3.35873241060839e-05,0.00237187576050964
"ENSGALG00000043433","SCX",4,40,24,47,204,136,4.42128337192187,31.3881785253339,22.1499796192158,40.4834074686116,224.16324574134,146.210079886507,78.1360291021551,2.23922041398356,0.961079662515796,0.00076883715431237,0.0219733340451505
"ENSGALG00000023303","Six2",24,30,18,39,251,120,26.5277002315312,23.5411338940005,16.6124847144119,33.5926147079968,275.808699417041,129.008894017506,84.181921163748,2.22958150701239,0.862214622696488,0.000410362450427836,0.0151795024520163
"ENSGALG00000010870","JUN",1283,2107,1230,2140,11815,7770,1418.12664154394,1653.37230382197,1135.18645548481,1843.28706346444,12982.7879825193,8353.32588763354,4564.34772241133,2.18592991002014,0.614099445204023,2.05919888366643e-05,0.00159162755505679
"ENSGALG00000037687","ENSGALG00000037687",65,55,93,259,278,370,71.8458547937303,43.1587454723342,85.8311710244613,223.089415624902,305.477364294572,397.777423220645,187.863329071774,2.00884068833289,0.493943943642968,3.00969405199504e-06,0.000346360050309592
"ENSGALG00000010461","EBF3",229,393,195,1302,1118,783,253.118473042527,308.388854011406,179.968584406129,1121.47652179005,1228.50249381774,841.78303346423,655.53966008868,1.98235888422394,0.378214656657404,1.11084541913801e-08,2.92510075114036e-06
"ENSGALG00000035352","ZBTB17",56,89,92,183,467,312,61.8979672069061,69.838697218868,84.908255206994,157.626884399062,513.158018437284,335.423124445517,203.808824485772,1.96588605608758,0.555099514709628,2.44493415058927e-05,0.0018174400461031
"ENSGALG00000003267","STAT3",304,820,351,585,3391,1797,336.017536266062,643.457659769346,323.943451931031,503.889220619953,3726.16454072983,1931.90818791216,1244.23009953806,1.88745970380207,0.675675456318505,0.00029492999488175,0.011717869977898
"ENSGALG00000014297","IRF7",9,41,29,83,69,193,9.9478875868242,32.1728829884673,26.7645587065524,71.4919748913779,75.8199213536886,207.489304544823,70.6144216786222,1.85911103954272,0.820463365510337,0.00110056058731759,0.0279779217741807
"ENSGALG00000032029","SRF",218,989,345,511,3606,1885,240.959943769742,776.072714038882,318.405957026227,440.149387584266,3962.41502031016,2026.51471019166,1294.08628882016,1.81545059649458,0.770204955009101,0.00091763057974868,0.0249672656514457
"ENSGALG00000052879","ENSGALG00000052879",53,35,18,193,121,138,58.5820046779647,27.4646562096672,16.6124847144119,166.240375349831,132.959572228932,148.360228120132,91.7032202168232,1.77357512638807,0.660609838359679,0.000408069052412082,0.0151306940292938
"ENSGALG00000028037","FOS",115,461,171,396,1320,827,127.111896942754,361.748757504474,157.818604786913,341.094241650429,1450.46806067926,889.086294603982,554.554642694635,1.69780338063833,0.646604753455166,0.000519298728308094,0.017731483610977
"ENSGALG00000053035","ENSGALG00000053035",57,144,32,172,333,291,63.0032880498866,112.997442691202,29.5333061589544,148.152044353217,365.913533489541,312.846567992453,172.074363789209,1.61866223989997,0.669939233607403,0.000922127461071833,0.025045755655965
"ENSGALG00000030991","IRX1",288,790,494,722,2276,1833,318.332402778374,619.916525875345,455.920413828859,621.89404664548,2500.95856523182,1970.61085611741,1081.27213507955,1.58376626943764,0.56357042559568,0.000359537577440769,0.0137242648725302
"ENSGALG00000023195","DLX6",71,200,113,260,599,314,78.4777798516131,156.94089262667,104.289487373808,223.950764719979,658.20482450521,337.573272679142,259.906170292737,1.54303208562992,0.568599708112351,0.000471603114732661,0.0166050490069305
