This table shows the differential expression results for genes with absolute log2FC > 1.5 and adjusted p-value < 0.05 when comparing Sox8 overexpression and control samples (Sox8 - Control)
Reads are aligned to Galgal6 

Statistics:
Normalised count: read counts adjusted for library size
pvalue: unadjusted pvalue for differential expression test between Sox8 overexpression and control samples
padj: pvalue for differential expression test between Sox8 overexpression and control samples - adjusted for multiple testing (Benjamini and Hochberg) 
 
"gene_id","gene_name","counts_control_R1","counts_control_R2","counts_control_R3","counts_sox8_oe_R1","counts_sox8_oe_R2","counts_sox8_oe_R3","norm_size.adj_control_R1","norm_size.adj_control_R2","norm_size.adj_control_R3","norm_size.adj_sox8_oe_R1","norm_size.adj_sox8_oe_R2","norm_size.adj_sox8_oe_R3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSGALG00000032453","PMP2",0,0,0,4440,1320,2021,0,0,0,3824.38998214118,1450.46806067926,2172.72479007817,1241.2638054831,15.2606411641826,3.36300457496055,1.53698029623606e-27,1.19392629411617e-23
"ENSGALG00000006983","DNTT",0,0,0,554,98,142,0,0,0,477.187398672571,107.686265111036,152.660524587383,122.922364728498,11.4882700616697,3.09180446980305,3.84322254732085e-14,3.31712808306537e-11
"ENSGALG00000014976","GATA6",0,0,0,65,340,82,0,0,0,55.9876911799947,373.6054095689,88.1560775786294,86.2915297212541,10.8533232044473,3.07915484327204,8.77363397653818e-12,5.04841397998138e-09
"ENSGALG00000008599","ENSGALG00000008599",0,0,0,349,97,49,0,0,0,300.610834181818,106.587425671127,52.6786317238151,76.6461485961267,10.6709614356894,3.04728555651107,9.59134820467818e-12,5.13831674854759e-09
"ENSGALG00000045925","ENSGALG00000045925",0,0,0,126,11,68,0,0,0,108.529985979682,12.0872338389938,73.1050399432537,32.2870432936549,9.07218716996851,3.01496692904141,8.55397750129345e-08,1.84322708039978e-05
"ENSGALG00000047154","ENSGALG00000047154",0,0,0,15,61,87,0,0,0,12.9202364261526,67.0292058344204,93.5314481626922,28.9134817372109,8.87118069469218,3.00043053914411,1.57227553702798e-07,3.09200920800844e-05
"ENSGALG00000049750","ENSGALG00000049750",0,0,0,79,40,27,0,0,0,68.0465785110705,43.9535775963412,29.027001153939,23.5045262102251,8.56024446445348,2.92667361814611,1.56981408042839e-07,3.09200920800844e-05
"ENSGALG00000049050","ENSGALG00000049050",0,0,0,8,48,78,0,0,0,6.89079276061474,52.7442931156095,83.8557811113792,23.9151444979339,8.43821410190081,3.04922178486683,1.71101557609564e-06,0.000217888016313294
"ENSGALG00000051814","ENSGALG00000051814",0,0,0,30,37,45,0,0,0,25.8404728523053,40.6570592766156,48.3783352565649,19.145977897581,8.14903205015659,2.92785931959551,9.02787991496794e-07,0.000128676277393525
"ENSGALG00000028489","ENSGALG00000028489",0,0,0,22,18,54,0,0,0,18.9496800916905,19.7791099183536,58.0540023078779,16.1304653863203,7.7107369209125,2.99993821961038,8.97584512797897e-06,0.000823987320904858
"ENSGALG00000014127","ENSGALG00000014127",0,0,0,9,26,33,0,0,0,7.75214185569158,28.5698254376218,35.4774458548143,11.9665688580213,6.95378040595092,3.11226603172874,0.00010349198574381,0.00556349996718279
"ENSGALG00000007796","BCAS1",3,35,6,2372,1231,1338,3.3159625289414,27.4646562096672,5.53749490480395,2043.12005352227,1352.6713505274,1438.4491682952,811.759780998047,6.91032728048316,0.625700630688719,2.60886812084592e-29,4.05313751254621e-25
"ENSGALG00000051000","ENSGALG00000051000",0,0,0,6,40,22,0,0,0,5.16809457046105,43.9535775963412,23.6516305698762,12.1288837894464,6.89940165535936,3.17844284909522,0.000152273925571827,0.00714721361838035
"ENSGALG00000040929","C15orf62",0,0,0,9,47,8,0,0,0,7.75214185569158,51.6454536757009,8.60059293450043,11.3330314109822,6.65570457376936,3.26531550579667,0.000293517677798357,0.011717869977898
"ENSGALG00000016740","OCA2",0,0,0,30,18,11,0,0,0,25.8404728523053,19.7791099183536,11.8258152849381,9.57423300926615,6.42443465172746,3.16670355607408,0.000294118319192773,0.011717869977898
"ENSGALG00000010337","GPR149",0,0,0,36,12,12,0,0,0,31.0085674227663,13.1860732789024,12.9008894017506,9.51592168390322,6.37427433023604,3.20033628562136,0.000349537798776118,0.0134084425723105
"ENSGALG00000048032","ENSGALG00000048032",11,5,7,422,542,373,12.1585292727851,3.92352231566674,6.46041072227128,363.489318122427,595.570976430424,401.002645571083,230.434233739109,5.85232821139951,0.560849224256236,6.91026791744055e-27,3.57859741217855e-23
"ENSGALG00000047053","ENSGALG00000047053",0,0,1,35,15,49,0,0,0.922915817467326,30.1472183276895,16.482591598628,52.6786317238151,16.7052262446,5.72601882779099,1.77642927401608,4.38272352265359e-05,0.00290198801035186
"ENSGALG00000026781","ALOX5AP",0,0,3,68,71,48,0,0,2.76874745240198,58.5717384652253,78.0176002335057,51.6035576070026,31.8269406263559,5.58118723081765,1.22710977266862,5.31567660863669e-07,8.51385070018346e-05
"ENSGALG00000047585","ENSGALG00000047585",0,1,0,25,37,22,0,0.784704463133349,0,21.533727376921,40.6570592766156,23.6516305698762,14.4378536144244,5.52243966860507,1.8010838728259,8.62604680016758e-05,0.00490894736583896
"ENSGALG00000032558","INSC",0,1,23,685,517,634,0,0.784704463133349,21.2270638017485,590.024130127637,568.09999043271,681.596990059159,310.288813147398,5.46410853660532,1.81891890932485,5.63548697670223e-05,0.00353035990605023
