"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000054818","ENSGALG00000054818",2,3,2,4,15,0,2,6
"ENSGALG00000053455","ENSGALG00000053455",1,3,5,0,14,6,4,8
"ENSGALG00000045540","ENSGALG00000045540",257,209,776,453,1167,576,282,305
"ENSGALG00000051297","ENSGALG00000051297",432,339,1213,813,1802,860,550,481
"ENSGALG00000042023","ENSGALG00000042023",473,373,1558,1216,2286,1114,574,583
"ENSGALG00000047594","RF00004",0,0,2,1,1,0,0,0
"ENSGALG00000049206","RF00004_1",0,0,0,1,1,0,0,1
"ENSGALG00000029624","DHRS4",364,302,963,892,2212,945,451,480
"ENSGALG00000038527","CARMIL3",24,16,105,108,312,97,39,23
"ENSGALG00000052679","ENSGALG00000052679",8,7,41,23,109,50,14,35
"ENSGALG00000046962","ENSGALG00000046962",1,4,4,4,49,16,8,20
"ENSGALG00000042611","ENSGALG00000042611",343,266,1050,923,2039,953,415,455
"ENSGALG00000048560","ENSGALG00000048560",5,6,7,11,17,7,1,9
"ENSGALG00000050315","CLC2DL3",771,667,2794,1708,3492,1665,856,922
"ENSGALG00000048857","ENSGALG00000048857",15,8,35,22,33,9,9,5
"ENSGALG00000049873","ENSGALG00000049873",54,37,175,137,393,155,73,73
"ENSGALG00000053510","ENSGALG00000053510",107,101,397,280,652,336,123,172
"ENSGALG00000050833","ENSGALG00000050833",1,0,4,1,6,0,0,5
"ENSGALG00000051677","ENSGALG00000051677",28,30,73,92,146,64,40,46
"ENSGALG00000031626","ENSGALG00000031626",8,5,26,12,39,15,12,5
"ENSGALG00000041494","GOLGB1",647,497,1954,1547,3909,2031,856,1300
"ENSGALG00000039682","HCLS1",16,11,55,40,100,32,27,18
"ENSGALG00000038044","NME6",127,106,362,392,1053,310,172,145
"ENSGALG00000032458","RABL2B",231,207,668,694,1207,528,219,200
"ENSGALG00000047768","ACR",3,7,16,3,66,8,0,7
"ENSGALG00000035824","ARSA",331,283,981,1144,2564,1110,607,569
"ENSGALG00000034366","ACR_1",2,4,3,6,24,1,7,9
"ENSGALG00000050523","gga-mir-12207",0,0,5,3,0,0,0,0
"ENSGALG00000033919","ENSGALG00000033919",47,46,128,81,135,65,50,38
"ENSGALG00000034440","gga-mir-6708",0,2,2,0,5,2,0,0
"ENSGALG00000038707","gga-mir-1604",0,0,5,2,1,3,3,0
"ENSGALG00000051055","MAPK8IP2",4,3,20,20,39,13,8,23
"ENSGALG00000052929","ENSGALG00000052929",0,2,3,0,7,0,3,1
"ENSGALG00000054904","ENSGALG00000054904",6,1,0,7,1,4,1,1
"ENSGALG00000053146","ENSGALG00000053146",1,2,0,2,0,0,0,0
"ENSGALG00000051631","ENSGALG00000051631",0,0,1,0,0,5,3,4
"ENSGALG00000047599","ENSGALG00000047599",1,0,0,0,1,0,0,0
"ENSGALG00000054762","ENSGALG00000054762",0,0,0,0,0,0,0,0
"ENSGALG00000053751","ENSGALG00000053751",2,0,5,3,26,7,8,3
"ENSGALG00000046797","ENSGALG00000046797",22,30,75,67,178,40,44,54
"ENSGALG00000050267","CALU",16,15,45,30,78,54,24,30
"ENSGALG00000047194","ENSGALG00000047194",4,3,14,8,22,5,15,9
"ENSGALG00000048328","ENSGALG00000048328",13,5,22,23,32,17,2,4
"ENSGALG00000031473","ENSGALG00000031473",23,28,34,30,142,30,9,39
"ENSGALG00000054662","ENSGALG00000054662",26,8,25,52,88,34,35,26
"ENSGALG00000048059","ENSGALG00000048059",4,6,27,30,41,14,10,1
"ENSGALG00000053846","ENSGALG00000053846",88,81,345,336,387,159,81,47
"ENSGALG00000048724","ENSGALG00000048724",0,0,0,0,0,1,0,0
"ENSGALG00000054163","ENSGALG00000054163",40,12,50,31,27,24,26,31
