This table shows genes subset from supplementary table 4 of Chen et al. (2017) Development
These genes were found to be differentially expressed (absolute FC > 1.5) between either: PPR vs 5/6ss otic; PPR vs 8/9ss otic; PPR vs 11/12ss otic
The data presented in this table are from Sox8 overexpression and control samples
Genes presented in this table are not necessarily differentially expressed between Sox8 overexpression and control samples 

Statistics:
Normalised count: read counts adjusted for library size
pvalue: unadjusted pvalue for differential expression test between Sox8 overexpression and control samples
padj: pvalue for differential expression test between Sox8 overexpression and control samples - adjusted for multiple testing (Benjamini and Hochberg) 
 
"gene_id","gene_name","counts_control_R1","counts_control_R2","counts_control_R3","counts_sox8_oe_R1","counts_sox8_oe_R2","counts_sox8_oe_R3","norm_size.adj_control_R1","norm_size.adj_control_R2","norm_size.adj_control_R3","norm_size.adj_sox8_oe_R1","norm_size.adj_sox8_oe_R2","norm_size.adj_sox8_oe_R3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSGALG00000015599","SOHO-1",312,1224,574,11423,8843,7875,344.860103009906,960.478262875219,529.753679226245,9839.19071306277,9717.03716711114,8466.20866989886,4976.25476586402,3.85002063369703,0.421726724976535,4.50147996495754e-21,9.99071324794004e-18
"ENSGALG00000003424","LMX1A",45,130,70,530,1431,1015,49.739437934121,102.011580207335,64.6041072227128,456.515020390726,1572.43923850911,1091.20022856474,556.084935471458,3.70565293063952,0.531854937988969,1.75885348288399e-13,1.24207035045844e-10
"ENSGALG00000005263","SOX8",773,2147,1049,9931,8999,8500,854.413011623901,1684.7604823473,968.138692523225,8554.05786320812,9888.45611973687,9138.12999290671,5181.32602705769,2.89018004148042,0.3659408021344,1.70403139968858e-16,2.20615265213015e-13
"ENSGALG00000040529","DLX3",85,524,207,423,3916,1721,93.9522716533397,411.185138681875,191.043574215736,364.350667217504,4303.05524668181,1850.20255503441,1202.29824224744,2.86926197519775,0.790251371238526,1.27516511792403e-05,0.00109452846807004
"ENSGALG00000006252","LMO4",229,383,303,320,3065,1314,253.118473042527,300.541809380072,279.6434926926,275.631710424589,3367.94288331965,1412.6473894917,981.587626391855,2.23628743174491,0.728199645329273,0.000105392427961099,0.00559884529718096
"ENSGALG00000010870","JUN",1283,2107,1230,2140,11815,7770,1418.12664154394,1653.37230382197,1135.18645548481,1843.28706346444,12982.7879825193,8353.32588763354,4564.34772241133,2.18592991002014,0.614099445204023,2.05919888366643e-05,0.00159162755505679
"ENSGALG00000003403","ZNF385C",788,1502,933,1933,6687,4644,870.992824268608,1178.62610362629,861.080457697015,1664.98780078354,7347.93933466835,4992.6441984775,2819.37845325355,2.04976470663541,0.53023035083115,7.27618537869181e-06,0.000697795160761457
"ENSGALG00000030991","IRX1",288,790,494,722,2276,1833,318.332402778374,619.916525875345,455.920413828859,621.89404664548,2500.95856523182,1970.61085611741,1081.27213507955,1.58376626943764,0.56357042559568,0.000359537577440769,0.0137242648725302
"ENSGALG00000032656","TCF7L1",333,1085,388,861,3072,1636,368.071840712495,851.404342499683,358.091337177322,741.621570861161,3375.63475939901,1758.82125510534,1242.2741842925,1.54355776576911,0.62811687141356,0.000912638235449292,0.0248749958349828
"ENSGALG00000023195","DLX6",71,200,113,260,599,314,78.4777798516131,156.94089262667,104.289487373808,223.950764719979,658.20482450521,337.573272679142,259.906170292737,1.54303208562992,0.568599708112351,0.000471603114732661,0.0166050490069305
"ENSGALG00000040270","ZNF687",46,82,30,104,328,114,50.8447587771015,64.3457659769346,27.6874745240198,89.5803058879916,360.419336289998,122.558449316631,119.239348462113,1.5085480128463,0.76491129649405,0.00264795019939923,0.0505057294375763
"ENSGALG00000017388","YY1",477,713,512,668,2127,1597,527.238042101683,559.494282214078,472.532898543271,575.38119551133,2337.23148868544,1716.89336454965,1031.46187860091,1.26883012299674,0.53654318256712,0.00156140397181261,0.0351564813131604
"ENSGALG00000016397","SOX11",311,883,432,568,2325,1196,343.754782166925,692.894040946747,398.699633145885,489.246286003646,2554.80169778733,1285.78864370781,960.864180626392,1.17381125036445,0.638598166600867,0.00525508875424674,0.0758764487787894
"ENSGALG00000029401","SIX1",119,530,192,463,824,716,131.533180314676,415.893365460675,177.199836953727,398.804631020578,905.443698484629,769.753067637789,466.437963312012,1.14430388017222,0.587451976654118,0.0045343029462688,0.0689960142734887
"ENSGALG00000005653","NFKB2",6,13,4,13,38,59,6.6319250578828,10.2011580207335,3.6916632698693,11.1975382359989,41.7558987165242,63.4293728919407,22.8179260321582,1.03312251888538,1.87674204679385,0.0133658439822552,0.124119397554284
"ENSGALG00000040017","THRA",12,48,11,24,179,63,13.2638501157656,37.6658142304007,10.1520739921406,20.6723782818442,196.692259743627,67.7296693591909,57.6960076204948,1.02165969759359,1.41447982695413,0.0153309659940211,0.132599631830627
"ENSGALG00000041687","SREBF2",497,2934,1011,1527,4651,3846,549.344458961292,2302.32289483324,933.067891459466,1315.28006818234,5110.70223501458,4134.73505326108,2390.908766952,0.977674123352492,0.680496472569839,0.0141039341388607,0.12739460510543
"ENSGALG00000012277","MAFF",237,1133,350,1107,1517,1038,261.961039786371,889.070156730084,323.020536113564,953.513448250064,1666.93943034124,1115.92693325143,868.405257412126,0.969088667900038,0.561288999712743,0.00947477756211477,0.104201574679015
"ENSGALG00000031656","EYA4",118,73,179,153,379,397,130.427859471695,57.2834258087344,165.201931326651,131.786411546757,416.460147725333,426.804424374584,221.327366708959,0.968879350528456,0.670059821887066,0.0137794555812731,0.12580776367447
"ENSGALG00000004848","YBX1",28334,52356,32308,46462,113924,66190,31318.1607650085,41083.9868718096,29817.5642307344,40020.0016554602,125184.184352139,71159.155791823,56430.5089444959,0.962771608417884,0.465144512033414,0.00612094442586253,0.0812777714531626
"ENSGALG00000002232","RERE",352,1063,580,753,1750,1607,389.072936729124,834.140844310749,535.291174131049,648.595868592862,1922.96901983993,1727.64410571777,1009.61899155358,0.951881783272407,0.529453671565626,0.00887175714646656,0.101496037575482
"ENSGALG00000007570","ENSGALG00000007570",18,50,85,170,127,93,19.8957751736484,39.2352231566674,78.4478444847227,146.429346163063,139.552608868383,99.9818928635675,87.2571151183421,0.917917228574038,0.713131847799412,0.0182763867302997,0.14543646980479
"ENSGALG00000012290","SOX10",3240,5899,3738,7562,8802,6980,3581.23953125671,4628.97162802362,3449.85932569286,6513.52185697108,9671.98475007489,7504.01733535163,5891.59907122847,0.878091153479605,0.323541975312292,0.00121307158011504,0.0297259937991596
"ENSGALG00000039878","TFEB",19,11,20,15,138,50,21.0010960166289,8.63174909446683,18.4583163493465,12.9202364261526,151.639842707377,53.7537058406277,44.4008244057666,0.818617387456792,1.30802194241925,0.019751687260461,0.150940586954512
"ENSGALG00000043033","EYA1",465,626,544,1608,724,769,513.974191985917,491.224993921476,502.066204702225,1385.04934488356,795.559754493776,826.731995828854,752.434414302635,0.807637258932938,0.368974476330408,0.00560527587995316,0.0779665180359705
"ENSGALG00000005768","ETV5",677,3680,1234,2745,4001,3031,748.302210697776,2887.71242433072,1138.87811875468,2364.40326598593,4396.45659907403,3258.54964805885,2465.71704448367,0.681257421827988,0.524149672344373,0.0387808356616315,0.20730109748436
"ENSGALG00000039497","TFAP2E",86,97,48,108,207,145,95.0575924963201,76.1163329239348,44.2999592384316,93.0257022682989,227.459764061066,155.88574693782,115.307516320979,0.67274653904137,0.568367177425405,0.0409642598748911,0.211028355227371
"ENSGALG00000001577","FOXK2",406,638,517,626,923,1012,448.76026225007,500.641447479076,477.147477630607,539.204533518103,1014.22880303557,1087.9750062143,677.992921687956,0.666513895113996,0.384277268698006,0.0204767430567907,0.153300555317623
"ENSGALG00000022896","IRX4",10,4,13,5,94,56,11.0532084298047,3.13881785253339,11.9979056270752,4.30674547538421,103.290907351402,60.204150541503,32.3319558796171,0.594816404714127,1.10018381388816,0.0157732601089983,0.134746702948188
"ENSGALG00000007762","CREBBP",2615,3510,2952,2404,6836,5534,2890.41400439392,2754.31266559805,2724.44749316355,2070.68322456473,7511.66641121472,5949.46016244067,3983.49732689594,0.576808305313523,0.448780028561445,0.0546819995084113,0.237500571529963
"ENSGALG00000000713","ZFHX3",724,1396,1202,1062,2171,1906,800.252290317858,1095.44743053415,1109.34481259573,914.752738971606,2385.58042404142,2049.09126664473,1392.41149385092,0.565328385298749,0.411974420336503,0.0510252507555813,0.230846911979823
"ENSGALG00000007247","PXN",401,685,416,482,1100,794,443.233658035167,537.522557246344,383.932980066407,415.170263827038,1208.72338389938,853.608848749168,640.365281970585,0.55924713675113,0.434125365635818,0.0571389843797419,0.241804828727438
"ENSGALG00000007000","NR2F2",2559,3915,3407,3001,6581,5506,2828.51603718701,3072.11797316706,3144.37419011118,2584.9086343256,7231.46235403804,5919.35808716992,4130.12287933314,0.545129163964994,0.400047192487286,0.0556061924414859,0.239465587296715
"ENSGALG00000031890","YBX3",1391,1746,1236,1610,2970,2100,1537.50129258583,1370.09399263083,1140.72395038961,1386.77204307372,3263.55313652834,2257.65564530636,1826.05001008578,0.543880632157609,0.380121184169019,0.0510018323009403,0.230846911979823
"ENSGALG00000012921","ETV6",433,369,361,385,912,623,478.603925010542,289.555946896206,333.172610105705,331.619401604584,1002.14156919658,669.771174774221,517.477437931306,0.531366181047674,0.449547986536682,0.070429162099669,0.262999564091404
"ENSGALG00000049065","ZFPM1",63,55,18,21,303,92,69.6352131077694,43.1587454723342,16.6124847144119,18.0883309966137,332.948350292285,98.906818746755,96.5583238883615,0.514893643813919,0.764563118209107,0.0495942688173622,0.228156101761602
"ENSGALG00000041754","N4BP3",110,918,306,324,1162,923,121.585292727851,720.358697156414,282.412240145002,279.077106804897,1276.85142917371,992.293409817987,612.096362637644,0.507192416945639,0.595374033076612,0.0824162653583547,0.282435781524477
"ENSGALG00000005689","PAX2",1490,3923,2498,2953,4753,3589,1646.9280560409,3078.39560887213,2305.44371203338,2543.56387776191,5222.78385788525,3858.44100524026,3109.2593529723,0.496225194099347,0.377264613619635,0.0702712393367724,0.262755735562722
"ENSGALG00000037015","DACH1",904,1145,1079,1224,1627,1591,999.210042054342,898.486610287684,995.826167047244,1054.29129237405,1787.81176873118,1710.44291984877,1241.01146672388,0.484971313787785,0.323781048716002,0.054348478347509,0.236781384062162
"ENSGALG00000003588","IRX5",10,26,16,27,78,26,11.0532084298047,20.4023160414671,14.7666530794772,23.2564255670747,85.7094763128654,27.9519270371264,30.5233344113026,0.478635761860066,0.678883283595663,0.0695561018999522,0.262354540075258
"ENSGALG00000036364","FOXG1",773,1473,990,976,2376,1372,854.413011623901,1155.86967419542,913.686659292652,840.676716794998,2610.84250922267,1475.00168826682,1308.41504323274,0.466789259464124,0.411832030413475,0.0955825800273445,0.302017499173611
"ENSGALG00000002523","CREB3",548,1318,837,734,1637,1551,605.715821953296,1034.24048240975,772.480539220152,632.230235786402,1798.80016313026,1667.43995517627,1085.15119961269,0.463764970173443,0.420114401287563,0.0991554166833461,0.306818437796221
"ENSGALG00000000583","SOX13",31,94,31,31,159,123,34.2649461323945,73.7622195345348,28.6103903414871,26.7018219473821,174.715470945456,132.234116367944,78.3814942115332,0.442465580232027,0.600800226905934,0.0967605783845596,0.303373370929468
"ENSGALG00000012792","HIPK2",1705,2853,2390,2544,3800,3052,1884.5720372817,2238.76183331944,2205.76880374691,2191.27209787549,4175.58987165242,3281.12620451191,2662.84847473131,0.442385274192618,0.325211301070219,0.08047976137635,0.279154626645004
"ENSGALG00000011695","HIPK3",1280,1822,1629,2297,2222,1802,1414.810679015,1429.73153182896,1503.42986665427,1978.51887139151,2441.62123547676,1937.28355849622,1784.23262381045,0.437665819820931,0.27112392841233,0.0539533049476477,0.235852151284934
"ENSGALG00000003120","NCOR2",5186,7797,6576,5483,10152,10135,5732.1938916967,6118.34069905072,6069.09441566513,4722.77708830632,11155.4179939514,10895.8761738952,7448.95004376092,0.380813883839478,0.350444414680555,0.141423189890188,0.364937835977956
"ENSGALG00000005287","ZBTB47",4,12,48,23,88,70,4.42128337192187,9.41645355760018,44.2999592384316,19.8110291867674,96.6978707119507,75.2551881768788,41.6502973739251,0.375571650267732,0.618577332471871,0.0842414629290874,0.285198380489497
"ENSGALG00000021636","CUX1",713,876,562,747,1085,1034,788.093761045073,687.401109704813,518.678689416637,643.427774022401,1192.24079230076,1111.62663678418,823.57812721231,0.375237022413915,0.341849530224607,0.141500026331011,0.364937835977956
"ENSGALG00000006886","DACH2",766,1571,1042,2572,844,1300,846.675765723038,1232.77071158249,961.678281800953,2215.38987253764,927.4204872828,1397.59635185632,1263.58857846387,0.36680456910907,0.358487101729744,0.158150872790942,0.383998557382931
"ENSGALG00000033178","KLF6",1977,2067,2512,3095,2580,2762,2185.21930657238,1621.98412529663,2318.36453347792,2665.87544926283,2835.00575496401,2969.35471063627,2432.63398003501,0.35700925741347,0.276303472010053,0.117998245756833,0.333919990178171
"ENSGALG00000010642","IRF2",304,445,338,454,491,431,336.017536266062,349.19348609434,311.945546303956,391.052489164886,539.530164995089,463.356944346211,398.516027861757,0.34686360856034,0.301486732361226,0.147930734044196,0.372522906255421
"ENSGALG00000007641","LDB1",31,48,38,26,129,42,34.2649461323945,37.6658142304007,35.0708010637584,22.3950764719979,141.7502877482,45.1531129061273,52.7166730921465,0.282594150626669,0.489383812291379,0.222843443729838,0.453688342522181
"ENSGALG00000034649","TOX3",374,588,507,342,755,704,413.389995274695,461.406224322409,467.918319455934,294.58139051628,829.623777130941,756.852178236038,537.295314156049,0.272040468965151,0.36235727355183,0.283148190227506,0.515999092655042
"ENSGALG00000021570","ZBTB6",36,34,117,137,57,101,39.7915503472968,26.6799517465338,107.981150643677,118.004826025527,62.6338480747863,108.582485798068,77.2789687726482,0.256602717604708,0.44794163886664,0.287169193027191,0.520083349762358
"ENSGALG00000037778","NAB1",115,149,113,149,233,90,127.111896942754,116.920965006869,104.289487373808,128.341015166449,256.029589498688,96.7566705131299,138.241604083616,0.223200618149681,0.380288655509441,0.3702762629575,0.598232155582677
"ENSGALG00000029270","GATA3",3532,5894,3950,8608,3284,4020,3903.99321740701,4625.04810570796,3645.51747899594,7414.49301042146,3608.58872065961,4321.79794958647,4586.57308046307,0.215456385465665,0.307669031883791,0.368071461326688,0.596532257789633
"ENSGALG00000016059","ETS2",76,117,136,213,66,142,84.0043840665155,91.8104221866018,125.516551175556,183.467357251367,72.523403033963,152.660524587383,118.330440383564,0.204560393857371,0.379954933165585,0.407316328483201,0.625798330324653
"ENSGALG00000034140","ZNF395",46,159,36,75,146,81,50.8447587771015,124.768009638202,33.2249694288237,64.6011821307631,160.430558226646,87.0810034618169,86.8250802772255,0.197092965491623,0.422899628070599,0.399404280281554,0.619275937969483
"ENSGALG00000009896","TRERF1",364,236,450,678,339,266,402.33678684489,185.19025329947,415.312117860297,583.994686462099,372.506570128992,285.969715072139,374.218354944648,0.159624251268124,0.348749492483453,0.51296394823803,0.707299072451741
"ENSGALG00000013342","GBX2",18,8,0,8,62,10,19.8957751736484,6.27763570506679,0,6.89079276061474,68.1280452743289,10.7507411681255,18.6571650136307,0.159104438120441,0.489904332972199,0.239711940515314,0.471939201724095
"ENSGALG00000036593","FOXC2",10,10,4,1,36,17,11.0532084298047,7.84704463133349,3.6916632698693,0.861349095076842,39.5582198367071,18.2762599858134,13.5479575414341,0.148227897061925,0.479329072914,0.312048011469576,0.544052442712712
"ENSGALG00000013818","CITED2",0,15,12,24,15,15,0,11.7705669470002,11.0749898096079,20.6723782818442,16.482591598628,16.1261117521883,12.6877730648781,0.134422198105977,0.472158340465195,0.36789944635477,0.596399831565092
