	timepoint	replicate_id	treatment
201106	ss11	1	sc
201191	ss11	1	sc
202118	ss11	1	sc
202179	ss11	1	sc
203130	ss11	1	sc
203167	ss11	1	sc
204142	ss11	1	sc
204155	ss11	1	sc
205143	ss11	1	sc
205154	ss11	1	sc
206131	ss11	1	sc
206166	ss11	1	sc
207119	ss11	1	sc
207178	ss11	1	sc
208107	ss11	1	sc
208190	ss11	1	sc
209107	ss11	1	sc
209190	ss11	1	sc
210119	ss11	1	sc
210178	ss11	1	sc
211131	ss11	1	sc
211166	ss11	1	sc
212143	ss11	1	sc
212154	ss11	1	sc
213142	ss11	1	sc
213155	ss11	1	sc
214130	ss11	1	sc
214167	ss11	1	sc
215118	ss11	1	sc
215179	ss11	1	sc
216106	ss11	1	sc
216191	ss11	1	sc
217108	ss11	1	sc
217189	ss11	1	sc
218120	ss11	1	sc
218177	ss11	1	sc
219132	ss11	1	sc
219165	ss11	1	sc
220144	ss11	1	sc
220153	ss11	1	sc
221141	ss11	1	sc
221156	ss11	1	sc
222129	ss11	1	sc
222168	ss11	1	sc
223117	ss11	1	sc
223180	ss11	1	sc
224105	ss11	1	sc
224192	ss11	1	sc
225109	ss11	1	sc
225188	ss11	1	sc
226121	ss11	1	sc
226176	ss11	1	sc
227133	ss11	1	sc
227164	ss11	1	sc
228145	ss11	1	sc
228152	ss11	1	sc
229140	ss11	1	sc
229157	ss11	1	sc
230128	ss11	1	sc
230169	ss11	1	sc
231116	ss11	1	sc
231181	ss11	1	sc
232104	ss11	1	sc
232193	ss11	1	sc
233110	ss11	1	sc
233187	ss11	1	sc
234122	ss11	1	sc
234175	ss11	1	sc
235134	ss11	1	sc
235163	ss11	1	sc
236146	ss11	1	sc
236151	ss11	1	sc
237139	ss11	1	sc
237158	ss11	1	sc
238127	ss11	1	sc
238170	ss11	1	sc
239115	ss11	1	sc
239182	ss11	1	sc
240103	ss11	1	sc
240194	ss11	1	sc
241111	ss11	1	sc
241186	ss11	1	sc
242123	ss11	1	sc
242174	ss11	1	sc
243135	ss11	1	sc
243162	ss11	1	sc
244147	ss11	1	sc
244150	ss11	1	sc
245138	ss11	1	sc
245159	ss11	1	sc
246126	ss11	1	sc
246171	ss11	1	sc
247114	ss11	1	sc
247183	ss11	1	sc
248102	ss11	1	sc
248195	ss11	1	sc
249112	ss11	1	sc
249185	ss11	1	sc
250124	ss11	1	sc
250173	ss11	1	sc
251136	ss11	1	sc
251161	ss11	1	sc
252148	ss11	1	sc
252149	ss11	1	sc
253137	ss11	1	sc
253160	ss11	1	sc
254125	ss11	1	sc
254172	ss11	1	sc
255113	ss11	1	sc
255184	ss11	1	sc
256101	ss11	1	sc
256196	ss11	1	sc
257101	ss11	1	sc
257196	ss11	1	sc
258113	ss11	1	sc
258184	ss11	1	sc
259125	ss11	1	sc
259172	ss11	1	sc
260137	ss11	1	sc
260160	ss11	1	sc
261148	ss11	1	sc
261149	ss11	1	sc
262136	ss11	1	sc
262161	ss11	1	sc
263124	ss11	1	sc
263173	ss11	1	sc
264112	ss11	1	sc
264185	ss11	1	sc
265102	ss11	1	sc
265195	ss11	1	sc
266114	ss11	1	sc
266183	ss11	1	sc
267126	ss11	1	sc
267171	ss11	1	sc
268138	ss11	1	sc
268159	ss11	1	sc
269147	ss11	1	sc
269150	ss11	1	sc
270135	ss11	1	sc
270162	ss11	1	sc
271123	ss11	1	sc
271174	ss11	1	sc
272111	ss11	1	sc
272186	ss11	1	sc
273103	ss11	1	sc
273194	ss11	1	sc
274115	ss11	1	sc
274182	ss11	1	sc
275127	ss11	1	sc
275170	ss11	1	sc
276139	ss11	1	sc
276158	ss11	1	sc
277146	ss11	1	sc
277151	ss11	1	sc
278134	ss11	1	sc
278163	ss11	1	sc
279122	ss11	1	sc
279175	ss11	1	sc
280110	ss11	1	sc
280187	ss11	1	sc
281104	ss11	1	sc
281193	ss11	1	sc
282116	ss11	1	sc
282181	ss11	1	sc
283128	ss11	1	sc
283169	ss11	1	sc
284140	ss11	1	sc
284157	ss11	1	sc
285145	ss11	1	sc
285152	ss11	1	sc
286133	ss11	1	sc
286164	ss11	1	sc
287121	ss11	1	sc
287176	ss11	1	sc
288109	ss11	1	sc
288188	ss11	1	sc
289105	ss11	1	sc
289192	ss11	1	sc
290117	ss11	1	sc
290180	ss11	1	sc
291129	ss11	1	sc
291168	ss11	1	sc
292141	ss11	1	sc
292156	ss11	1	sc
293144	ss11	1	sc
293153	ss11	1	sc
294132	ss11	1	sc
294165	ss11	1	sc
295120	ss11	1	sc
295177	ss11	1	sc
296108	ss11	1	sc
296189	ss11	1	sc
201107	ss11	1	sc
202119	ss11	1	sc
203131	ss11	1	sc
204143	ss11	1	sc
205155	ss11	1	sc
206167	ss11	1	sc
207179	ss11	1	sc
208191	ss11	1	sc
209108	ss11	1	sc
210120	ss11	1	sc
211132	ss11	1	sc
212144	ss11	1	sc
213156	ss11	1	sc
214168	ss11	1	sc
215180	ss11	1	sc
216192	ss11	1	sc
217109	ss11	1	sc
218121	ss11	1	sc
219133	ss11	1	sc
220145	ss11	1	sc
221157	ss11	1	sc
222169	ss11	1	sc
223181	ss11	1	sc
224193	ss11	1	sc
226122	ss11	1	sc
227134	ss11	1	sc
228146	ss11	1	sc
229158	ss11	1	sc
230170	ss11	1	sc
231182	ss11	1	sc
232194	ss11	1	sc
234123	ss11	1	sc
235135	ss11	1	sc
236147	ss11	1	sc
237159	ss11	1	sc
238171	ss11	1	sc
239183	ss11	1	sc
240195	ss11	1	sc
242124	ss11	1	sc
243136	ss11	1	sc
244148	ss11	1	sc
245160	ss11	1	sc
246172	ss11	1	sc
247184	ss11	1	sc
248196	ss11	1	sc
249101	ss11	1	sc
251125	ss11	1	sc
252137	ss11	1	sc
253149	ss11	1	sc
254161	ss11	1	sc
255173	ss11	1	sc
256185	ss11	1	sc
257102	ss11	1	sc
258114	ss11	1	sc
259126	ss11	1	sc
260138	ss11	1	sc
261150	ss11	1	sc
262162	ss11	1	sc
263174	ss11	1	sc
264186	ss11	1	sc
265103	ss11	1	sc
266115	ss11	1	sc
267127	ss11	1	sc
268139	ss11	1	sc
269151	ss11	1	sc
270163	ss11	1	sc
271175	ss11	1	sc
272187	ss11	1	sc
273104	ss11	1	sc
274116	ss11	1	sc
275128	ss11	1	sc
276140	ss11	1	sc
277152	ss11	1	sc
278164	ss11	1	sc
279176	ss11	1	sc
280188	ss11	1	sc
281105	ss11	1	sc
282117	ss11	1	sc
283129	ss11	1	sc
284141	ss11	1	sc
285153	ss11	1	sc
286165	ss11	1	sc
287177	ss11	1	sc
288189	ss11	1	sc
289106	ss11	1	sc
290118	ss11	1	sc
291130	ss11	1	sc
292142	ss11	1	sc
293154	ss11	1	sc
294166	ss11	1	sc
295178	ss11	1	sc
296190	ss11	1	sc
201108	ss15	1	sc
201189	ss15	1	sc
202120	ss15	1	sc
202177	ss15	1	sc
203132	ss15	1	sc
203165	ss15	1	sc
204144	ss15	1	sc
204153	ss15	1	sc
205141	ss15	1	sc
205156	ss15	1	sc
206129	ss15	1	sc
206168	ss15	1	sc
207117	ss15	1	sc
207180	ss15	1	sc
208105	ss15	1	sc
208192	ss15	1	sc
209109	ss15	1	sc
209188	ss15	1	sc
210121	ss15	1	sc
210176	ss15	1	sc
211133	ss15	1	sc
211164	ss15	1	sc
212145	ss15	1	sc
212152	ss15	1	sc
213140	ss15	1	sc
213157	ss15	1	sc
214128	ss15	1	sc
214169	ss15	1	sc
215116	ss15	1	sc
215181	ss15	1	sc
216104	ss15	1	sc
216193	ss15	1	sc
217110	ss15	1	sc
217187	ss15	1	sc
218122	ss15	1	sc
218175	ss15	1	sc
219134	ss15	1	sc
219163	ss15	1	sc
220146	ss15	1	sc
220151	ss15	1	sc
221139	ss15	1	sc
221158	ss15	1	sc
222127	ss15	1	sc
222170	ss15	1	sc
223115	ss15	1	sc
223182	ss15	1	sc
224103	ss15	1	sc
224194	ss15	1	sc
225111	ss15	1	sc
225186	ss15	1	sc
226123	ss15	1	sc
226174	ss15	1	sc
227135	ss15	1	sc
227162	ss15	1	sc
228147	ss15	1	sc
228150	ss15	1	sc
229138	ss15	1	sc
229159	ss15	1	sc
230126	ss15	1	sc
230171	ss15	1	sc
231114	ss15	1	sc
231183	ss15	1	sc
232102	ss15	1	sc
232195	ss15	1	sc
233112	ss15	1	sc
233185	ss15	1	sc
234124	ss15	1	sc
234173	ss15	1	sc
235136	ss15	1	sc
235161	ss15	1	sc
236148	ss15	1	sc
236149	ss15	1	sc
237137	ss15	1	sc
237160	ss15	1	sc
238125	ss15	1	sc
238172	ss15	1	sc
239113	ss15	1	sc
239184	ss15	1	sc
240101	ss15	1	sc
240196	ss15	1	sc
241101	ss15	1	sc
241196	ss15	1	sc
242113	ss15	1	sc
242184	ss15	1	sc
243125	ss15	1	sc
243172	ss15	1	sc
244137	ss15	1	sc
244160	ss15	1	sc
245148	ss15	1	sc
245149	ss15	1	sc
246136	ss15	1	sc
246161	ss15	1	sc
247124	ss15	1	sc
247173	ss15	1	sc
248112	ss15	1	sc
248185	ss15	1	sc
249102	ss15	1	sc
249195	ss15	1	sc
250114	ss15	1	sc
250183	ss15	1	sc
251126	ss15	1	sc
251171	ss15	1	sc
252138	ss15	1	sc
252159	ss15	1	sc
253147	ss15	1	sc
253150	ss15	1	sc
254135	ss15	1	sc
254162	ss15	1	sc
255123	ss15	1	sc
255174	ss15	1	sc
256111	ss15	1	sc
256186	ss15	1	sc
257103	ss15	1	sc
257194	ss15	1	sc
258115	ss15	1	sc
258182	ss15	1	sc
259127	ss15	1	sc
259170	ss15	1	sc
