PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_7545	1	118908237	118909944	+	7713	NA	Intergenic	Intergenic	-210484	ENSGALG00000047469	ENSGALG00000047469	ENSGALT00000096792						protein_coding
ATAC_R1.mLb.clN_peak_36249	3	46737360	46738113	+	3420	NA	Intergenic	Intergenic	-1753	ENSGALG00000012289	ENSGALG00000012289	ENSGALT00000104251			SHPRH			protein_coding
ATAC_R1.mLb.clN_peak_32032	23	110210	111582	+	3164	NA	Intergenic	Intergenic	20104	ENSGALG00000050102	ENSGALG00000050102	ENSGALT00000106999						protein_coding
ATAC_R1.mLb.clN_peak_51247	5	41079465	41080267	+	2741	NA	intron (ENSGALG00000010579, intron 5 of 6)	protein_coding-intron (ENSGALG00000010579, intron 5 of 6)	-23259	ENSGALG00000010576	ENSGALG00000010576	ENSGALT00000017211			GTF2A1			protein_coding
ATAC_R1.mLb.clN_peak_45118	4	53846123	53847111	+	2450	NA	Intergenic	Intergenic	-8088	ENSGALG00000044716	ENSGALG00000044716	ENSGALT00000084288			KIAA1109			protein_coding
ATAC_R1.mLb.clN_peak_44503	4	44301621	44302475	+	2365	NA	Intergenic	Intergenic	-7600	ENSGALG00000043106	ENSGALG00000043106	ENSGALT00000077839			WDR17			protein_coding
ATAC_R1.mLb.clN_peak_34576	3	25522561	25523774	+	2170	NA	intron (ENSGALG00000030691, intron 1 of 6)	protein_coding-intron (ENSGALG00000030691, intron 1 of 6)	-17818	ENSGALG00000030691	ENSGALG00000030691	ENSGALT00000065710			PPM1B			protein_coding
ATAC_R1.mLb.clN_peak_29176	2	125456413	125457724	+	2041	NA	intron (ENSGALG00000053989, intron 1 of 2)	protein_coding-intron (ENSGALG00000053989, intron 1 of 2)	330	ENSGALG00000053989	ENSGALG00000053989	ENSGALT00000104376			TRIQK			protein_coding
ATAC_R1.mLb.clN_peak_43443	4	31055675	31056648	+	2029	NA	Intergenic	Intergenic	-3220	ENSGALG00000009968	ENSGALG00000009968	ENSGALT00000079818			OTUD4			protein_coding
ATAC_R1.mLb.clN_peak_47870	4	87880651	87881577	+	1997	NA	Intergenic	Intergenic	-57288	ENSGALG00000027853	ENSGALG00000027853	ENSGALT00000025728			CTNNA2			protein_coding
